レベル,必要経験値,取得経験値
1,100,50
2,110,55
3,121,60
4,133,66
5,146,72
6,160,79
7,176,86
8,193,94
9,212,103
10,233,113
11,256,124
12,281,136
13,309,149
14,339,163
15,372,179
16,409,196
17,449,215
18,493,236
19,542,259
20,596,284
21,655,312
22,720,343
23,792,377
24,871,414
25,958,455
26,1053,500
27,1158,550
28,1273,605
29,1400,665
30,1540,731
31,1694,804
32,1863,884
33,2049,972
34,2253,1069
35,2478,1175
36,2725,1292
37,2997,1421
38,3296,1563
39,3625,1719
40,3987,1890
41,4385,2079
42,4823,2286
43,5305,2514
44,5835,2765
45,6418,3041
46,7059,3345
47,7764,3679
48,8540,4046
49,9394,4450
50,10333,4895
